spid,spid_legacy,chid,stkc,stkc_unit,tested_conc,tested_conc_unit,MTT
TP0000886H15,BF00128231,34590,100,mM,10,uM,54.9
TP0000883G11,BF00128232,34465,100,mM,100,uM,101.2
TP0000886H21,BF00128232,34465,100,mM,100,uM,101.2
TP0000883A11,BF00128233,34664,100,mM,100,uM,90.7
TP0000886G22,BF00128233,34664,100,mM,100,uM,90.7
TP0000882E03,BF00128234,23871,100,mM,1,uM,88.3
TP0000886K05,BF00128234,23871,100,mM,1,uM,88.3
TP0000883A05,BF00128235,24270,100,mM,1,uM,98.5
TP0000886G10,BF00128235,24270,100,mM,1,uM,98.5
TP0000882D07,BF00128236,24287,100,mM,100,uM,96.1
TP0000886I13,BF00128236,24287,100,mM,100,uM,96.1
TP0000882G03,BF00128237,21385,100,mM,1,uM,99.3
TP0000886C06,BF00128237,21385,100,mM,1,uM,99.3
TP0000883E03,BF00128238,32553,100,mM,100,uM,101.7
TP0000886D05,BF00128238,32553,100,mM,100,uM,101.7
TP0000883G07,BF00128239,24902,100,mM,1,uM,94.8
TP0000886H13,BF00128239,24902,100,mM,1,uM,94.8
TP0000883H01,BF00128240,20370,100,mM,100,uM,96.6
TP0000886J01,BF00128240,20370,100,mM,100,uM,96.6
TP0000884D05,BF00128241,20089,100,mM,10,uM,86.3
TP0000886F10,BF00128241,20089,100,mM,10,uM,86.3
TP0000886F02,BF00128242,32638,100,mM,10,uM,24
TP0000883B03,BF00128243,34580,100,mM,1,uM,99.6
TP0000886I06,BF00128243,34580,100,mM,1,uM,99.6
TP0000883H10,BF00128244,22020,100,mM,100,uM,95.7
TP0000886J19,BF00128244,22020,100,mM,100,uM,95.7
TP0000884B02,BF00128245,32386,100,mM,10,uM,101.2
TP0000886N03,BF00128245,32386,100,mM,10,uM,101.2
TP0000884G12,BF00128246,23990,100,mM,100,uM,96.5
TP0000886L24,BF00128246,23990,100,mM,100,uM,96.5
TP0000882E07,BF00128247,20022,100,mM,100,uM,97
TP0000886K13,BF00128247,20022,100,mM,100,uM,97
TP0000883E08,BF00128248,24280,100,mM,1,uM,97.3
TP0000886D15,BF00128248,24280,100,mM,1,uM,97.3
TP0000884H04,BF00128249,24316,100,mM,100,uM,95.8
TP0000886N08,BF00128249,24316,100,mM,100,uM,95.8
TP0000882D09,BF00128250,24317,100,mM,100,uM,102.8
TP0000886I17,BF00128250,24317,100,mM,100,uM,102.8
TP0000882H07,BF00128251,24239,100,mM,1,uM,94.3
TP0000886E14,BF00128251,24239,100,mM,1,uM,94.3
TP0000883A03,BF00128252,24091,100,mM,100,uM,99.6
TP0000886G06,BF00128252,24091,100,mM,100,uM,99.6
TP0000884F07,BF00128253,22253,100,mM,1,uM,92.2
TP0000886J14,BF00128253,22253,100,mM,1,uM,92.2
TP0000886L06,BF00128254,21248,100,mM,1,uM,2.6
TP0000882G09,BF00128255,29221,100,mM,100,uM,98.7
TP0000886C18,BF00128255,29221,100,mM,100,uM,98.7
TP0000882A01,BF00128256,23869,100,mM,100,uM,81.2
TP0000886C01,BF00128256,23869,100,mM,100,uM,81.2
TP0000884D04,BF00128257,22292,100,mM,100,uM,92.6
TP0000886F08,BF00128257,22292,100,mM,100,uM,92.6
TP0000882E06,BF00128258,20560,100,mM,1,uM,97.3
TP0000886K11,BF00128258,20560,100,mM,1,uM,97.3
TP0000884G07,BF00128259,24259,100,mM,10,uM,94.5
TP0000886L14,BF00128259,24259,100,mM,10,uM,94.5
TP0000883C04,BF00128260,24145,100,mM,100,uM,94.9
TP0000886K08,BF00128260,24145,100,mM,100,uM,94.9
TP0000882G10,BF00128261,32393,100,mM,1,uM,97
TP0000886C20,BF00128261,32393,100,mM,1,uM,97
TP0000884G04,BF00128262,21160,100,mM,100,uM,104.3
TP0000886L08,BF00128262,21160,100,mM,100,uM,104.3
TP0000883E05,BF00128263,20628,100,mM,100,uM,96.8
TP0000886D09,BF00128263,20628,100,mM,100,uM,96.8
TP0000883H02,BF00128264,34816,100,mM,100,uM,94.1
TP0000886J03,BF00128264,34816,100,mM,100,uM,94.1
TP0000882D04,BF00128265,24338,100,mM,10,uM,97.2
TP0000886I07,BF00128265,24338,100,mM,10,uM,97.2
TP0000883A02,BF00128266,32470,100,mM,100,uM,80.3
TP0000886G04,BF00128266,32470,100,mM,100,uM,80.3
TP0000883B10,BF00128267,23901,100,mM,10,uM,92
