spid,spid_legacy,chid,stkc,stkc_unit,tested_conc_unit,CONC1,CONC2,CONC3,CONC4,CONC5,CONC6,CONC1_MTT,CONC2_MTT,CONC3_MTT,CONC4_MTT,CONC5_MTT,CONC6_MTT
TP0001055E02,01140298A,20528,99.9,mM,uM,99.9,33.3,11.1,3.7,1.23,0.41,105.6,113.41,99.47,94.19,96.3,88.7
TP0001064E02,01140298A,20528,99.9,mM,uM,99.9,33.3,11.1,3.7,1.23,0.41,105.6,113.41,99.47,94.19,96.3,88.7
TP0001054F01,01140300A,22174,100,mM,uM,10,3.33,1.11,0.37,0.12,0.04,106.91,98.2,91.96,78.71,83.82,90.26
TP0001063F01,01140300A,22174,100,mM,uM,10,3.33,1.11,0.37,0.12,0.04,106.91,98.2,91.96,78.71,83.82,90.26
TP0001057E05,01140302A,24052,100,mM,uM,10.01,3.34,1.11,0.37,0.12,0.04,99.64,102.41,95.33,94.6,100.44,97.88
TP0001066E05,01140302A,24052,100,mM,uM,10.01,3.34,1.11,0.37,0.12,0.04,99.64,102.41,95.33,94.6,100.44,97.88
TP0001056E09,01140310A,22370,100,mM,uM,10,3.33,1.11,0.37,0.12,0.04,94.22,97.13,88.55,91.74,94.65,95.43
TP0001065E09,01140310A,22370,100,mM,uM,10,3.33,1.11,0.37,0.12,0.04,94.22,97.13,88.55,91.74,94.65,95.43
TP0001056E05,01140314A,26900,99.9,mM,uM,1,0.33,0.11,0.04,0.01,0,98.4,98.05,89.68,91.24,94.22,95.64
TP0001065E05,01140314A,26900,99.9,mM,uM,1,0.33,0.11,0.04,0.01,0,98.4,98.05,89.68,91.24,94.22,95.64
TP0001057B09,01140322A,24836,99.9,mM,uM,99.9,33.3,11.1,3.7,1.23,0.41,89.39,99.79,99.03,99.38,93.2,101.66
TP0001066B09,01140322A,24836,99.9,mM,uM,99.9,33.3,11.1,3.7,1.23,0.41,89.39,99.79,99.03,99.38,93.2,101.66
TP0001055D02,01140332A,21940,99.9,mM,uM,99.9,33.3,11.1,3.7,1.23,0.41,96.87,97.07,91.2,88.98,92.62,82.1
TP0001064D02,01140332A,21940,99.9,mM,uM,99.9,33.3,11.1,3.7,1.23,0.41,96.87,97.07,91.2,88.98,92.62,82.1
TP0001057F08,01140336A,34287,99.9,mM,uM,99.9,33.3,11.1,3.7,1.23,0.41,91.78,98.49,95.2,96.81,94.36,99.32
TP0001066F08,01140336A,34287,99.9,mM,uM,99.9,33.3,11.1,3.7,1.23,0.41,91.78,98.49,95.2,96.81,94.36,99.32
TP0001061G12,01140340A,21185,99.9,mM,uM,99.9,33.3,11.1,3.7,1.23,0.41,91.12,85.2,68.6,80.02,84.14,92.28
TP0001070G12,01140340A,21185,99.9,mM,uM,99.9,33.3,11.1,3.7,1.23,0.41,91.12,85.2,68.6,80.02,84.14,92.28
TP0001056F11,01140342A,20576,100,mM,uM,1,0.33,0.11,0.04,0.01,0,99.37,97.18,96.84,99.2,97.52,96.08
TP0001065F11,01140342A,20576,100,mM,uM,1,0.33,0.11,0.04,0.01,0,99.37,97.18,96.84,99.2,97.52,96.08
TP0001059D02,01140350A,20617,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,94.78,99.55,99.33,101.94,91.04,97.39
TP0001068D02,01140350A,20617,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,94.78,99.55,99.33,101.94,91.04,97.39
TP0001054C04,01140352A,20221,99.9,mM,uM,99.9,33.3,11.1,3.7,1.23,0.41,103.46,98.55,98.99,92.29,89.16,94.97
TP0001063C04,01140352A,20221,99.9,mM,uM,99.9,33.3,11.1,3.7,1.23,0.41,103.46,98.55,98.99,92.29,89.16,94.97
TP0001055D05,01140354A,20068,20,mM,uM,20,6.67,2.22,0.74,0.25,0.08,89.38,84.93,89.59,102.73,96.06,98.69
TP0001064D05,01140354A,20068,20,mM,uM,20,6.67,2.22,0.74,0.25,0.08,89.38,84.93,89.59,102.73,96.06,98.69
TP0001055G02,01140358A,36299,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,116.34,105.71,101.18,108.86,101.38,83.86
TP0001064G02,01140358A,36299,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,116.34,105.71,101.18,108.86,101.38,83.86
TP0001055F02,01140364A,25068,99.9,mM,uM,99.9,33.3,11.1,3.7,1.23,0.41,128.47,114.29,106.79,106.18,107.6,106.18
TP0001064F02,01140364A,25068,99.9,mM,uM,99.9,33.3,11.1,3.7,1.23,0.41,128.47,114.29,106.79,106.18,107.6,106.18
TP0001057H09,01140376A,26214,100,mM,uM,1,0.33,0.11,0.04,0.01,0,94.81,97.71,97.45,99.39,96.62,101.06
